# Filename: 2Dvpt_macro_Tv_lmax10_dl0.008_Op3.dat
# Source: 2Dvpt_constT.c
# Source version: 2 (2011 Jun 16 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, a0=1, a02=1, a04=1, K0c=0.747853
# Option values: Op=3
T/Tc	1-T/Tc	l	K	K/K0	y	G
0.205672	0.794328	10	3.63615	1	1.91798e-49	1.56282e-115
0.369043	0.630957	10	2.02647	1	4.94577e-24	1.03917e-64
0.498813	0.501187	10	1.49925	0.999987	1.04078e-15	4.6019e-48
0.601893	0.398107	10	1.24227	0.99981	1.18507e-11	5.96634e-40
0.683772	0.316228	10	1.09267	0.999039	2.71218e-09	3.12506e-35
0.748811	0.251189	10	0.995892	0.997168	9.03782e-08	3.47015e-32
0.800474	0.199526	10	0.92856	0.993896	1.02413e-06	4.45589e-30
0.841511	0.158489	10	0.879103	0.989198	6.00502e-06	1.53197e-28
0.874107	0.125893	10	0.841239	0.983259	2.28985e-05	2.22759e-27
0.9	0.1	10	0.81131	0.976367	6.49006e-05	1.78944e-26
0.920567	0.0794328	10	0.787068	0.968839	0.000148503	9.36895e-26
0.936904	0.0630957	10	0.767062	0.96097	0.00028947	3.55981e-25
0.949881	0.0501187	10	0.750321	0.953016	0.000498543	1.05591e-24
0.960189	0.0398107	10	0.736169	0.945188	0.000778462	2.57451e-24
0.968377	0.0316228	10	0.72413	0.937658	0.00112312	5.35886e-24
0.974881	0.0251189	10	0.713854	0.930561	0.00151883	9.80024e-24
0.980047	0.0199526	10	0.705083	0.923998	0.00194704	1.61053e-23
0.984151	0.0158489	10	0.697614	0.918039	0.0023876	2.42184e-23
0.987411	0.0125893	10	0.691283	0.91272	0.00282173	3.38261e-23
0.99	0.01	10	0.685947	0.908049	0.00323402	4.44331e-23
0.992057	0.00794328	10	0.681479	0.90401	0.0036135	5.54724e-23
0.99369	0.00630957	10	0.677765	0.900562	0.00395364	6.64073e-23
0.994988	0.00501187	10	0.674696	0.897655	0.00425184	7.68024e-23
0.996019	0.00398107	10	0.672176	0.895229	0.00450848	8.63537e-23
0.996838	0.00316228	10	0.670119	0.893223	0.004726	9.48874e-23
0.997488	0.00251189	10	0.668447	0.891576	0.00490808	1.0234e-22
0.998005	0.00199526	10	0.667094	0.890232	0.00505893	1.08727e-22
0.998415	0.00158489	10	0.666002	0.889141	0.00518287	1.1412e-22
0.998741	0.00125893	10	0.665125	0.888259	0.00528403	1.18618e-22
0.999	0.001	10	0.664421	0.887549	0.00536614	1.22333e-22
1.00126	-0.00125893	10	0.657994	0.880952	0.00615494	1.60942e-22
1.00158	-0.00158489	10	0.657021	0.879936	0.00628055	1.67578e-22
1.002	-0.00199526	10	0.655779	0.878631	0.00644333	1.76377e-22
1.00251	-0.00251189	10	0.654185	0.876948	0.00665597	1.88211e-22
1.00316	-0.00316228	10	0.652129	0.87476	0.00693657	2.04414e-22
1.00398	-0.00398107	10	0.649459	0.871889	0.00731174	2.27124e-22
1.00501	-0.00501187	10	0.645957	0.868078	0.00782205	2.59934e-22
1.00631	-0.00630957	10	0.6413	0.862932	0.00853216	3.09271e-22
1.00794	-0.00794328	10	0.634987	0.855824	0.009551	3.87541e-22
1.01	-0.01	10	0.626187	0.845686	0.0110757	5.21147e-22
1.01259	-0.0125893	10	0.613393	0.830531	0.0134983	7.74065e-22
1.01585	-0.0158489	10	0.593509	0.806196	0.0177088	1.33229e-21
1.01995	-0.0199526	10	0.558961	0.762333	0.0261685	2.90924e-21
1.02512	-0.0251189	10	0.485898	0.666044	0.048343	9.9286e-21
1.03162	-0.0316228	10	0.280357	0.386738	0.152909	9.93309e-20
1.03981	-0.0398107	10	0.0138495	0.0192563	1.4496	8.92725e-18
1.05012	-0.0501187	10	0.000115356	0.000161981	16.7732	1.19523e-15
1.0631	-0.0630957	10	1.49251e-06	2.12164e-06	147.587	9.25379e-14
1.07943	-0.0794328	10	3.19851e-08	4.61666e-08	1008.19	4.31819e-12
1.1	-0.1	10	1.07553e-09	1.58197e-09	5497.99	1.28419e-10
1.12589	-0.125893	10	5.4022e-11	8.13302e-11	24531.8	2.55669e-09
1.15849	-0.158489	10	3.88045e-12	6.01116e-12	91532.1	3.55933e-08
1.19953	-0.199526	10	3.83463e-13	6.1506e-13	291174	3.60185e-07
1.25119	-0.251189	10	5.03526e-14	8.42419e-14	803533	2.74302e-06
1.31623	-0.316228	10	8.51501e-15	1.49865e-14	1.95399e+06	1.62205e-05
1.39811	-0.398107	10	1.80255e-15	3.36985e-15	4.24689e+06	7.66237e-05
1.50119	-0.501187	10	4.65474e-16	9.3436e-16	8.35731e+06	0.000296725
1.63096	-0.630957	10	1.43211e-16	3.12322e-16	1.5067e+07	0.000964436
1.79433	-0.794328	10	5.13868e-17	1.23293e-16	2.51529e+07	0.00268781
2	-1	10	2.10968e-17	5.64198e-17	3.9256e+07	0.00654685
